"longitude" "latitude"
"984" -61.5 -12.5
"985" -60.5 -12.5
"986" -59.5 -15.5
"987" -58.5 -15.5
"988" -59.5 -14.5
"989" -58.5 -14.5
"990" -57.5 -15.5
"991" -56.5 -15.5
"992" -57.5 -14.5
"993" -56.5 -14.5
"994" -59.5 -13.5
"995" -58.5 -13.5
"996" -59.5 -12.5
"997" -58.5 -12.5
"998" -57.5 -13.5
"999" -56.5 -13.5
"1000" -57.5 -12.5
"1001" -56.5 -12.5
"1002" -63.5 -11.5
"1003" -62.5 -11.5
"1004" -63.5 -10.5
"1005" -62.5 -10.5
"1006" -61.5 -11.5
"1007" -60.5 -11.5
"1008" -61.5 -10.5
"1009" -60.5 -10.5
"1010" -63.5 -9.5
"1011" -62.5 -9.5
"1012" -63.5 -8.5
"1013" -62.5 -8.5
"1014" -61.5 -9.5
"1015" -60.5 -9.5
"1016" -61.5 -8.5
"1017" -60.5 -8.5
"1018" -59.5 -11.5
"1019" -58.5 -11.5
"1020" -59.5 -10.5
"1021" -58.5 -10.5
"1022" -57.5 -11.5
"1023" -56.5 -11.5
"1024" -57.5 -10.5
"1025" -56.5 -10.5
"1026" -59.5 -9.5
"1027" -58.5 -9.5
"1028" -59.5 -8.5
"1029" -58.5 -8.5
"1030" -57.5 -9.5
"1031" -56.5 -9.5
"1032" -57.5 -8.5
"1033" -56.5 -8.5
"1034" -55.5 -15.5
"1035" -54.5 -15.5
"1036" -55.5 -14.5
"1037" -54.5 -14.5
"1038" -53.5 -15.5
"1039" -52.5 -15.5
"1040" -53.5 -14.5
"1041" -52.5 -14.5
"1042" -55.5 -13.5
"1043" -54.5 -13.5
"1044" -55.5 -12.5
"1045" -54.5 -12.5
"1046" -53.5 -13.5
"1047" -52.5 -13.5
"1048" -53.5 -12.5
"1049" -52.5 -12.5
"1050" -51.5 -15.5
"1051" -50.5 -15.5
"1052" -51.5 -14.5
"1053" -50.5 -14.5
"1054" -49.5 -15.5
"1055" -48.5 -15.5
"1056" -49.5 -14.5
"1057" -48.5 -14.5
"1058" -51.5 -13.5
"1059" -50.5 -13.5
"1060" -51.5 -12.5
"1061" -50.5 -12.5
"1062" -49.5 -13.5
"1063" -48.5 -13.5
"1064" -49.5 -12.5
"1065" -48.5 -12.5
"1066" -55.5 -11.5
"1067" -54.5 -11.5
